Hentestednr;Eiendomsnavn;Plassering;GnrBnrFnrSnr;Gatekode;Gatenavn;Husnummer;Bokstav;Postnummer;Sted;Dunktype;Beskrivelse;StorrelseId;EtikettId;Rutenavn;Rutenummer;X;Y;Startdag;Navn;TypeId;Bil;Frekvens;Remark
"512427";"Ramsøyvegen 114";"";"";"";"Ramsøyvegen";"114";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10341624";"12611-1";"12611";"6706546";"283124";"1";"";"HPR";"348";"4";"askøy"
"102072";"Ramsøyvegen 112";"";"";"";"Ramsøyvegen";"112";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346446";"12611-1";"12611";"6706547";"283125";"1";"";"HPR";"348";"4";"askøy"
"102071";"Ramsøyvegen 110";"";"";"";"Ramsøyvegen";"110";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346444";"12611-1";"12611";"6706548";"283122";"1";"";"HPR";"348";"4";"askøy"
"102082";"Ramsøyvegen 118";"";"";"";"Ramsøyvegen";"118";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346468";"12611-1";"12611";"6706546";"283121";"1";"";"HPR";"348";"4";"askøy"
"102089";"Ramsøyvegen 128";"";"";"";"Ramsøyvegen";"128";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346480";"12611-1";"12611";"6706546";"283120";"1";"";"HPR";"348";"4";"askøy"
"102083";"Ramsøy 275";"";"";"";"Ramsøyvegen";"116";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346470";"12611-1";"12611";"6706546";"283120";"1";"";"HPR";"348";"4";"askøy"
"102094";"Ramsøyvegen 120";"";"Ramsøyvegen 120";"";"Ramsøyvegen";"120";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10469238";"12611-1";"12611";"6706549";"283118";"1";"";"HPR";"348";"4";"4627.20.316.0.0"
"102106";"Ramsøyvegen 134";"";"";"";"Ramsøyvegen";"134";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"10250435";"12611-1";"12611";"6706560";"282937";"1";"";"HPR";"348";"4";"askøy"
"102127";"Ramsøyvegen 140";"";"";"";"Ramsøyvegen";"140";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346542";"12611-1";"12611";"6706560";"282937";"1";"";"HPR";"348";"4";"askøy"
"102070";"Ramsøyvegen 150";"";"";"";"Ramsøyvegen";"150";"0";"5310";"HAUGLANDSHELLA";"";"Restavfall";"140";"346442";"12611-1";"12611";"6706560";"282937";"1";"";"HPR";"348";"4";"askøy"
